570714700000003226;																						356,740	2,360,363	2,994,550	3,691,211	3,240,881	2,627,913	2,264,499	2,655,456	3,880,976	1,914,005	3,018,070	3,157,224	3,835,782	3,660,811	3,108,225	3,216,818	3,320,121	2,997,874	3,538,730	1,712,814
570714700000003325;																						266,713	993,950	860,318	981,695	926,403	976,165	922,745	792,353	1,087,730	1,037,664	885,735	815,711	1,015,605	966,398	825,981	912,962	1,099,077	840,151	932,684	566,500
570714700000003332;																						266,713	993,950	860,318	981,695	926,403	976,165	922,745	792,353	1,087,730	1,037,664	885,735	815,711	1,015,605	966,398	825,981	912,962	1,099,077	840,151	932,684	566,500
570714700000003523;																							1,498,392	3,177,014	3,505,573	3,264,283	3,544,357	3,572,290	3,072,802	3,848,689	3,309,100	3,269,725	3,025,900	3,484,814	3,250,668	2,797,719	2,964,798	3,610,892	2,848,509	3,475,662	1,636,658
570714700000003530;																							1,499,685	2,916,741	3,672,907	3,139,308	3,516,424	2,309,432	3,045,505	3,923,669	3,661,422	3,172,193	3,112,784	3,800,388	3,263,740	2,880,895	3,218,436	3,629,997	2,981,158	3,498,167	2,028,220
570714700000003707;														371,001	433,061	451,622	483,347	429,043	345,825	371,069	428,054	380,444	389,553	434,424	442,403	489,132	471,105	339,425	294,002	442,690	414,213	332,649	328,877	390,788	373,553	281,269	353,672	430,710	323,664	380,662	201,580
570714700000003714;														371,001	433,061	451,622	483,347	429,043	345,825	371,069	428,054	380,444	389,553	434,424	442,403	489,132	471,105	339,425	294,002	442,690	414,213	332,649	328,877	390,788	373,553	281,269	353,672	430,710	323,664	380,662	201,580
570714700000003950;														378,326	441,611	460,538	492,890	437,514	352,653	378,395	436,505	387,955	397,244	253,739	236,693	224,968	339,023	346,223	316,594	426,945	330,196	312,661	327,909	394,095	378,892	309,269	323,675	420,020	325,435	398,847	221,799
570714700000003967;														378,326	441,611	460,538	492,890	437,514	352,653	378,395	436,505	387,955	397,244	253,739	236,693	224,968	339,023	346,223	316,594	426,945	330,196	312,661	327,909	394,095	378,892	309,269	323,675	420,020	325,435	398,847	221,799
570714700000003974;														378,326	441,611	460,538	492,890	437,514	352,653	378,395	436,505	387,955	397,244	253,739	236,693	224,968	339,023	346,223	316,594	426,945	330,196	312,661	327,909	394,095	378,892	309,269	323,675	420,020	325,435	398,847	221,799
570714700000005091;														380,751	431,354	440,524	471,660	481,215	348,831	390,999	449,344	381,297	459,558	344,517	374,916	339,026	392,158	337,400	304,054	446,451	368,069	366,520	340,051	386,308	321,447	350,464	317,575	306,308	334,471	416,877	192,037
570714700000005220;												149,900	299,025	277,750	265,225	294,000	149,750	146,937	221,065	248,867	283,157	233,889	254,641	198,037	226,856	221,097	239,715	208,040	203,075	241,083	257,805	204,640	164,000	248,150	116,120	0	33,608	139,297	90,900	108,177	70,086
570714700000005237;												149,900	299,025	277,750	265,225	294,000	149,750	146,937	221,065	248,867	283,157	233,889	254,641	198,037	226,856	221,097	239,715	208,040	203,075	241,083	257,805	204,640	164,000	248,150	116,120	0	33,608	139,297	90,900	108,177	70,086
570714700000005732;											168,910	249,100	272,850	177,900	241,840	260,820	271,410	249,290	203,370	217,230	233,920	210,863	234,925	193,193	204,455	201,962	217,934	184,620	99,185	111,371	111,290	113,210	174,745	117,255	101,945	79,044	0	0	0	0	0
570714700000005749;												28,200	303,300	310,400	314,720	330,560	315,880	179,620	277,060	299,200	280,560	277,035	279,242	264,493	292,057	266,370	275,741	274,088	218,022	232,476	271,287	246,963	187,202	237,111	140,596	0	0	79,262	0	165,109	28,137
570714700000005756;											190,882	232,081	256,410	222,591	238,173	248,381	282,240	126,980	194,800	229,400	230,460	225,724	156,878	183,227	190,315	187,030	192,974	163,044	157,890	177,151	212,883	179,437	162,744	210,576	207,039	179,548	198,600	111,281	92,243	0	0
570714700000006258;																154,340	295,800	266,720	223,920	239,660	270,500	224,461	243,994	200,767	226,401	211,055	229,143	195,074	175,219	240,583	235,932	202,460	190,117	231,004	124,683	111,345	220,817	256,048	178,715	213,376	129,246
570714700000012525;																						369,767	1,055,355	911,511	1,018,462	956,614	1,038,404	950,821	831,900	1,129,562	1,093,782	914,307	828,898	1,058,814	1,023,021	850,572	942,693	1,164,501	883,724	1,062,854	614,880
570714700000012570;																						341,728	1,218,554	988,282	1,130,492	1,051,512	1,160,343	1,057,090	947,304	1,260,171	1,190,741	1,044,163	920,682	1,140,646	1,058,253	934,885	1,037,976	1,246,105	917,888	1,136,648	660,342
570714700000012631;																						233,178	1,232,925	1,009,093	1,139,912	1,074,456	1,169,509	1,089,671	975,030	1,277,938	1,216,874	1,067,934	957,112	1,198,765	1,109,463	905,589	1,032,054	1,258,392	890,862	1,073,642	650,939
570714700000012648;																						201,217	1,294,092	1,034,922	1,178,288	1,113,825	1,187,226	1,128,043	1,038,221	1,303,106	1,249,243	1,042,319	961,663	891,035	1,146,840	1,007,081	1,123,073	1,285,306	943,185	1,144,448	667,934
570714700000013034;																							1,778,167	3,375,876	3,746,826	3,594,395	4,046,615	3,548,816	3,213,074	4,277,856	3,142,937	2,772,123	3,283,931	3,849,934	3,594,861	3,167,903	3,048,036	3,974,792	3,145,034	3,733,092	1,734,937
570714700000013041;																							1,584,164	3,179,641	3,527,657	3,278,091	3,599,120	3,331,386	2,879,953	3,336,376	3,647,206	3,313,109	3,029,543	2,838,869	2,652,688	2,755,089	2,911,177	3,318,799	2,858,291	3,488,449	1,784,180
570714700000013058;																							1,613,089	3,125,851	3,511,069	3,166,146	3,581,235	3,439,504	2,760,170	3,433,776	3,696,261	3,195,161	3,078,005	3,687,595	3,222,187	2,949,483	2,983,994	3,786,932	2,829,615	3,353,856	1,827,591
570714700000013294;																							445,383	960,262	1,048,767	1,012,640	1,105,717	995,432	908,943	1,242,091	1,180,599	975,060	874,214	1,130,040	1,082,504	913,200	974,500	1,227,341	861,872	1,016,386	607,061
570714700000013300;																							427,297	921,188	991,503	965,314	1,069,904	966,691	872,091	1,123,605	1,126,407	928,452	818,520	1,092,144	1,031,880	861,237	937,911	1,187,613	853,672	1,040,362	562,003
570714700000013317;																							443,529	924,175	998,973	981,317	1,041,154	967,956	853,550	1,158,779	1,100,798	915,548	835,782	1,072,455	921,751	869,424	970,505	1,188,484	861,879	992,167	612,214
570714700000013355;																							298,338	1,234,362	1,340,473	1,306,433	1,390,789	1,303,922	1,171,721	1,370,061	1,453,881	1,169,438	1,106,082	1,417,114	1,341,827	1,162,524	1,260,960	1,495,798	1,134,027	1,275,004	740,818
570714700000000959;																	388,206	750,658	642,643	716,775	852,937	659,651	707,978	633,491	694,200	625,340	711,563	634,276	565,616	783,699	703,197	560,577	562,191	725,757	689,833	490,153	334,575	408,550	306,736	389,501	221,332
570714700000000966;																	388,206	750,658	642,643	716,775	822,388	679,696	736,005	640,805	694,734	644,746	728,117	659,270	597,711	799,043	720,820	629,166	614,075	760,914	741,508	784,637	1,288,859	1,585,092	1,205,419	1,497,814	827,976
570714700000003165;																						501,294	901,507	790,846	842,805	753,255	820,076	628,309	643,759	989,743	905,005	717,372	610,247	682,709	692,973	638,456	699,385	799,971	675,015	863,675	501,305
570714700000003172;																						494,930	906,219	779,893	839,793	743,229	819,798	740,843	619,854	681,748	906,360	742,206	644,016	896,532	850,771	700,207	767,672	879,077	720,232	890,035	507,986
570714700000003189;																						494,930	906,219	779,893	839,793	743,229	819,798	740,843	619,854	681,748	906,360	742,206	644,016	896,532	850,771	700,207	767,672	879,077	720,232	890,035	507,986
570714700000013362;																							317,819	1,228,428	1,327,491	1,308,663	1,383,828	1,299,624	1,219,455	1,566,041	1,484,986	1,240,825	1,154,906	1,464,613	1,356,917	1,224,858	1,318,415	1,565,623	1,166,938	1,350,506	821,964
570714700000013379;																							317,178	1,273,655	1,368,916	1,355,531	1,456,941	1,366,135	1,263,810	1,602,545	1,490,456	1,300,720	1,188,351	1,504,758	1,358,839	1,224,742	1,356,347	1,616,631	1,219,043	1,434,609	843,850
570714700000013386;																							125,042	995,253	1,100,031	1,032,541	1,116,596	1,019,076	925,129	1,182,957	1,128,153	977,501	890,090	1,098,484	983,770	897,751	975,904	1,138,686	856,612	1,005,096	607,622
570714700000013393;																							125,181	991,995	1,100,162	1,051,167	1,160,215	1,047,881	955,258	1,226,564	949,322	973,861	878,288	1,037,485	1,037,280	912,767	1,007,325	1,192,329	849,474	1,031,948	609,065
570714700000013409;																							130,210	963,566	1,080,528	1,031,580	1,145,604	1,029,481	961,034	1,223,088	1,170,047	994,165	903,398	1,149,865	1,051,342	948,420	1,038,975	1,214,647	902,983	1,050,442	631,488
570714700000014284;																								36,576	1,205,874	1,084,665	1,215,387	1,120,281	1,037,097	1,288,386	1,279,503	1,075,959	1,032,756	1,229,565	1,206,890	1,050,859	1,176,481	1,361,646	1,017,862	1,147,637	555,234
570714700000014291;																								36,069	1,208,664	1,108,677	1,194,162	1,127,094	1,047,900	1,293,594	1,220,049	1,085,913	1,009,995	1,273,973	1,187,957	1,026,224	1,183,461	1,303,190	933,643	1,165,966	725,729
570714700000014307;																								35,595	1,278,321	1,172,952	1,268,823	1,200,306	1,135,443	1,370,400	1,378,581	1,207,971	1,065,960	1,343,625	1,268,703	1,119,445	1,267,011	1,407,455	1,066,639	1,227,342	761,912
570714700000014314;																								24,855	1,213,290	1,099,755	1,187,901	1,100,796	1,031,040	1,293,438	1,270,605	1,110,723	1,017,369	1,262,523	1,167,923	1,023,999	1,191,986	1,206,013	940,164	1,110,798	723,581
